100000 100000
1 13356 15463
1 26402 26332
1 18784 6252
1 13427 15880
1 23739 4350
1 15119 16515
1 23714 7299
1 4881 29704
1 3507 11185
1 28330 29971
1 16714 5630
1 9414 26356
1 21834 10840
1 20204 10786
1 24858 14359
1 32358 19667
1 13293 9264
1 19619 27081
1 2119 24235
1 19161 26991
1 4285 19543
1 5358 22820
1 16892 30908
1 2969 19671
1 32268 9297
1 31173 32468
1 1238 751
1 10550 8669
1 19940 16006
1 10862 6525
1 12137 4623
1 21458 3225
1 30337 4289
1 15369 1608
1 21689 28040
1 13221 6373
1 18130 22195
1 517 14178
1 22722 14828
1 27001 14558
1 27388 1134
1 13992 14970
1 23793 13170
1 24367 21353
1 16599 18666
1 29579 20295
1 31913 30834
1 26681 25260
1 31855 8324
1 31259 3584
1 22975 25579
1 12830 8849
1 7300 30586
1 19482 7650
1 30974 30717
1 1274 20295
1 12042 23664
1 5148 31662
1 28324 22639
1 21499 29632
1 26026 17134
1 24075 20521
1 23266 21802
1 7652 18483
1 31295 21983
1 8099 22170
1 13920 1212
1 7565 8348
1 25434 23060
1 4342 21327
1 28343 28374
1 19042 27447
1 22719 8383
1 21737 6680
1 21238 18126
1 10464 16137
1 10213 2553
1 29109 9418
1 20509 13854
1 27419 31319
1 22650 5948
1 6503 14781
1 32165 14051
1 24890 28973
1 8412 3561
1 16993 8783
1 31222 32351
1 14841 11224
1 10913 10691
1 4055 29023
1 5871 30583
1 4903 13677
1 10001 24434
1 2642 22995
1 22114 19766
1 23078 31296
1 13223 12034
1 10289 5394
1 13972 1352
1 31853 13933
1 3731 1633
1 9763 22922
1 20162 10880
1 26633 29778
1 6970 13285
1 12205 24876
1 15255 1875
1 23575 6931
1 14005 26819
1 22442 32747
1 23479 28762
1 2380 3349
1 23630 19353
1 24775 19009
1 23608 7892
1 622 22147
1 6662 6885
1 22019 19370
1 5411 6945
1 31960 27597
1 21778 24459
1 29493 19750
1 13815 14152
1 24826 30755
1 24153 12115
1 23941 11195
1 16934 6514
1 10966 15359
1 22263 32617
1 11249 16113
1 23958 22125
1 6788 31640
1 25790 1755
1 16330 20308
1 26913 7210
1 13487 32112
1 13999 12575
1 27957 7414
1 28438 27711
1 4886 6343
1 22917 8330
1 29611 30186
1 24502 26214
1 1292 21541
1 23595 16602
1 18041 23754
1 7608 8956
1 32761 5076
1 17473 27053
1 9536 16178
1 23237 7555
1 24534 22627
1 21147 4359
1 1142 15427
1 17404 12065
1 30645 3365
1 6082 3536
1 17892 31521
1 32367 6430
1 29238 26288
1 22641 27220
1 16678 4470
1 29605 8042
1 531 20830
1 16921 18113
1 7213 31212
1 28182 13077
1 25237 28623
1 28510 19373
1 29632 6838
1 1458 11476
1 10269 10597
1 15511 11405
1 21495 23560
1 23642 6019
1 24732 18631
1 27730 14911
1 191 20122
1 10853 2717
1 1051 10847
1 7117 1409
1 3673 25130
1 6940 5318
1 13620 31452
1 1918 4471
1 18907 11255
1 31039 13890
1 20886 1456
1 8077 5673
1 29101 15686
1 11134 27515
1 21126 5011
1 27733 21251
1 15885 2529
1 257 18303
1 32088 22782
1 17126 29012
1 14732 24211
1 19936 7807
1 25594 29873
1 18821 30415
1 27022 26541
1 22443 16465
1 13674 32302
1 19499 18444
1 18126 18308
1 4580 17135
1 24123 9275
1 24834 15112
1 1496 15600
1 10880 23799
1 30996 23396
1 23787 14753
1 12173 22991
1 26217 20521
1 3889 7287
1 6139 29724
1 2466 18816
1 19967 25579
1 10463 13062
1 505 9119
1 20258 10089
1 10642 28616
1 11780 7144
1 1761 23734
1 14567 25970
1 19946 30188
1 5781 29624
1 17252 29138
1 22053 17031
1 14528 19882
1 27423 30037
1 2406 26053
1 13536 20762
1 32066 24055
1 5439 2145
1 13439 28232
1 23152 3486
1 146 26604
1 41 24514
1 20091 1654
1 3076 1293
1 1607 24904
1 2341 10275
1 986 4430
1 26396 2915
1 3307 24300
1 16396 18036
1 26704 3124
1 18957 544
1 31356 3933
1 30672 9830
1 2886 20848
1 3202 11978
1 6380 17733
1 9970 6384
1 23639 27310
1 2037 8553
1 25248 4594
1 6154 17101
1 24532 29565
1 28730 11018
1 7924 28629
1 27202 6907
1 13120 3024
1 31732 25661
1 20149 32005
1 25051 31038
1 25045 23168
1 23838 17302
1 26790 17850
1 2214 13467
1 2301 8136
1 2435 17455
1 26108 7890
1 7820 20957
1 19674 22471
1 21318 7205
1 7906 4175
1 23048 16915
1 7359 27905
1 20828 791
1 30454 20439
1 30887 12560
1 18356 31454
1 6157 2218
1 22986 19250
1 8079 25578
1 24822 8234
1 16758 31495
1 1892 17104
1 3061 10108
1 29812 24980
1 17930 23899
1 12478 29761
1 5029 20196
1 2900 7215
1 9484 28246
1 25670 21691
1 30078 16901
1 108 2036
1 23830 16045
1 19039 23447
1 31219 7174
1 9417 19006
1 13462 22424
1 12767 23764
1 25483 22993
1 13355 6220
1 21068 29013
1 27791 29586
1 12130 6293
1 6535 27074
1 9677 14755
1 31662 31897
1 9638 25669
1 900 15145
1 8195 10824
1 3182 8400
1 14875 5654
1 18686 24682
1 15275 28555
1 17525 28614
1 15512 17157
1 7558 26455
1 21973 24250
1 24157 2604
1 22919 14927
1 5600 2594
1 22119 31910
1 5685 23641
1 27240 5111
1 31876 12772
1 10395 5154
1 26110 26821
1 5711 20291
1 30238 2328
1 892 23687
1 4654 8846
1 16994 319
1 30222 7709
1 621 12339
1 1585 22518
1 21084 4921
1 744 5560
1 3490 21254
1 227 11491
1 14604 4419
1 19188 28047
1 4773 18660
1 4375 9566
1 22743 2229
1 2224 20143
1 3282 15413
1 25107 16404
1 13362 30376
1 14153 28679
1 24027 29800
1 22546 8408
1 28200 18044
1 5926 2282
1 30278 23659
1 31936 19231
1 6874 24658
1 605 21393
1 19946 6453
1 15297 27779
1 24570 18323
1 4412 8087
1 11381 12349
1 28459 14145
1 25935 18792
1 3777 29819
1 16873 15872
1 15368 19642
1 5429 15167
1 15650 17441
1 3866 15487
1 16085 14325
1 11546 18764
1 27207 11602
1 7730 22974
1 2053 30748
1 7681 21765
1 21578 20023
1 2861 24134
1 26751 6907
1 15619 25510
1 24062 9954
1 23645 9124
1 3611 26500
1 17353 7339
1 4965 3014
1 10983 6887
1 28713 6222
1 8467 22617
1 32312 10298
1 6980 25382
1 3050 9745
1 6452 15925
1 19043 4345
1 9666 28664
1 28949 8747
1 13972 29578
1 14982 26277
1 12032 16379
1 7764 8478
1 2605 23016
1 27766 2111
1 28789 9038
1 11716 13584
1 15374 23967
1 28090 21937
1 12522 4630
1 20857 30794
1 27611 21576
1 8206 580
1 19707 4861
1 8183 10170
1 24907 27453
1 28131 30506
1 3994 12718
1 12474 19825
1 3241 9757
1 20189 17910
1 23180 1370
1 2223 31525
1 22355 27977
1 7252 11039
1 7914 18230
1 22201 5295
1 17470 11369
1 13780 8321
1 9633 30970
1 45 10894
1 24688 231
1 30109 32731
1 10227 7012
1 32085 25699
1 900 30834
1 29987 13649
1 14324 29875
1 1521 31603
1 24618 24445
1 8591 492
1 30989 26413
1 3506 17705
1 25765 8126
1 8252 19990
1 10364 22426
1 4285 19857
1 27467 11951
1 826 3103
1 30162 9158
1 12334 477
1 15112 3088
1 19919 10938
1 11124 10498
1 7826 27364
1 22491 20579
1 18673 6016
1 10011 23204
1 23660 30622
1 9047 19311
1 10190 20844
1 8788 26754
1 17585 22441
1 19747 12990
1 31812 2909
1 19201 30075
1 26956 26056
1 4987 24607
1 31593 24216
1 11222 24047
1 16283 8799
1 21421 8229
1 4612 3395
1 25820 3650
1 7408 15864
1 27293 4261
1 18706 21739
1 13297 26973
1 784 13248
1 25922 3900
1 31299 20735
1 19782 16172
1 15544 29706
1 294 14278
1 21626 27987
1 992 21281
1 18963 7883
1 31978 29416
1 12368 26782
1 16920 29360
1 7493 19997
1 14527 5256
1 13457 26363
1 21019 7121
1 9955 28861
1 9966 2640
1 19133 5228
1 30314 13185
1 12920 13453
1 3153 6702
1 25481 22355
1 21083 19521
1 4866 274
1 4312 12503
1 2908 4855
1 8854 31893
1 8051 503
1 8197 16447
1 20178 31237
1 17817 17798
1 32561 16776
1 6512 11810
1 28476 28940
1 5173 2337
1 18070 21303
1 20804 21119
1 26398 255
1 2574 4342
1 25457 3611
1 24767 1559
1 16048 22967
1 15903 9370
1 22915 22380
1 18102 16627
1 12381 25711
1 11060 12326
1 20226 32009
1 22544 18651
1 7495 26183
1 18542 31413
1 26905 8178
1 70 28640
1 20929 12993
1 29123 27881
1 30822 11982
1 20969 25299
1 6612 28231
1 8315 26471
1 30076 28774
1 26396 1995
1 9659 24739
1 29620 10582
1 19807 7720
1 4629 27811
1 15975 22405
1 2271 18148
1 32266 3749
1 23968 17785
1 18939 6400
1 9280 12226
1 748 28691
1 23965 31537
1 8273 26125
1 10610 17827
1 4454 4812
1 20349 18928
1 12147 3335
1 25569 704
1 9550 17357
1 2761 28577
1 28706 3118
1 8014 12375
1 23920 14136
1 16795 27251
1 10835 17445
1 4174 11560
1 10248 722
1 4386 18265
1 2477 14963
1 3275 17398
1 16201 10374
1 25122 137
1 525 27653
1 5250 4620
1 30170 12512
1 6514 27646
1 1027 12202
1 10628 32182
1 21331 21906
1 6269 14838
1 338 10390
1 30901 15555
1 196 15347
1 3521 884
1 16755 18656
1 21072 27402
1 1326 16251
1 5459 26815
1 1554 25604
1 29281 12514
1 21000 19529
1 10585 16353
1 32655 20833
1 6473 31144
1 8124 18845
1 25230 21289
1 4478 7868
1 29757 14908
1 6695 5214
1 2242 12202
1 26408 21180
1 21959 18308
1 23836 2453
1 29528 954
1 22537 16236
1 15940 15592
1 16610 8432
1 14790 3443
1 7248 25788
1 13412 29397
1 30385 5952
1 13336 6453
1 20834 25343
1 28078 1339
1 30009 10492
1 19309 4130
1 20054 32110
1 18169 27151
1 13596 23739
1 6776 5793
1 18554 11428
1 3316 6089
1 15727 23997
1 24064 15068
1 18381 16673
1 5279 15334
1 61 26211
1 13665 13122
1 27523 5576
1 9167 359
1 1795 15027
1 13065 11525
1 32388 21088
1 10670 26449
1 28469 13013
1 15612 10908
1 23533 15894
1 18233 10027
1 14007 21913
1 15697 29251
1 9102 8697
1 10176 11139
1 22629 750
1 8882 3191
1 15979 15229
1 10601 5737
1 14476 11884
1 12512 21114
1 13115 16121
1 21934 22514
1 24943 10700
1 8492 3285
1 19179 27177
1 10714 21687
1 4035 32618
1 4863 8656
1 1308 9901
1 12176 7251
1 3891 23754
1 19539 21500
1 23713 15496
1 25924 12264
1 26333 3344
1 19000 4266
1 23554 5281
1 30400 22683
1 21970 902
1 8528 20081
1 507 2885
1 17825 3604
1 8090 30234
1 11859 31661
1 30206 21155
1 16855 27903
1 10414 2013
1 5772 31994
1 3245 25935
1 4648 15757
1 25340 901
1 6234 15293
1 7265 2240
1 3246 2548
1 2663 9708
1 11184 17563
1 8614 24530
1 32596 17642
1 12612 30863
1 29333 30207
1 13244 3397
1 18525 46
1 7390 15376
1 31141 16025
1 18712 26172
1 16093 13056
1 29171 25269
1 18574 27610
1 19424 13502
1 27454 4260
1 12597 6886
1 17044 2169
1 32371 2616
1 4028 28387
1 970 27059
1 22285 19185
1 12255 8698
1 233 15497
1 22476 21836
1 485 5120
1 16488 21429
1 20010 2024
1 19658 8070
1 7196 32041
1 30216 5636
1 14905 5460
1 28740 4189
1 31811 30515
1 8426 4320
1 929 1445
1 18995 20588
1 26371 30888
1 4078 16425
1 32069 3256
1 14719 21367
1 20374 15448
1 21800 9764
1 30425 14318
1 8327 21218
1 26699 4051
1 23136 3576
1 30054 17579
1 24989 22583
1 774 12786
1 17811 24112
1 15307 1752
1 11143 22436
1 16830 16719
1 11633 31548
1 9015 24418
1 5631 23162
1 5886 15048
1 7645 14832
1 17328 17081
1 3636 14768
1 5732 2048
1 27761 25091
1 27791 20306
1 4935 26718
1 5413 7646
1 23799 16529
1 27905 29733
1 17103 20034
1 6791 11020
1 5616 19098
1 11400 10031
1 13653 12862
1 8293 22137
1 25873 20353
