100000 100000
1 5559 22561
1 27112 6064
1 23149 3498
1 8841 13658
1 12553 26694
1 12193 3723
1 7754 18251
1 27264 29029
1 27031 32524
1 5754 4859
1 13963 7249
1 26253 3683
1 22449 31748
1 1604 23053
1 16012 2861
1 10714 10066
1 11483 17185
1 27043 24656
1 2842 13813
1 27816 14326
1 2124 16185
1 9873 91
1 26360 11491
1 11465 15188
1 7026 29834
1 26332 6469
1 8027 18645
1 7716 23095
1 7787 9010
1 12452 17707
1 24686 5579
1 27444 10670
1 5261 31158
1 20191 8110
1 25039 19819
1 17801 31116
1 24800 22396
1 2516 7282
1 25360 24960
1 17989 13031
1 10910 8016
1 12195 28065
1 30775 5751
1 7840 18074
1 4538 6627
1 27836 31334
1 9790 11745
1 6245 11203
1 13142 26696
1 29795 25970
1 20372 8435
1 26227 28229
1 32331 1653
1 31026 9082
1 28825 27401
1 17725 19783
1 22437 24008
1 30103 8630
1 11302 25631
1 27467 27059
1 3877 26495
1 17490 31843
1 10243 11094
1 18870 1208
1 9149 24383
1 2296 17731
1 14703 8565
1 7344 20041
1 22551 1422
1 26739 23064
1 24988 29542
1 19449 17307
1 5903 29273
1 4479 19245
1 6704 13493
1 7019 7595
1 10292 30574
1 5423 20941
1 29125 2580
1 11119 20406
1 13387 4867
1 3942 22217
1 30826 25562
1 18822 5567
1 6603 29230
1 8030 2294
1 31776 18559
1 4289 4876
1 4450 874
1 12325 941
1 5469 12065
1 23113 169
1 8815 6425
1 4379 1354
1 909 27138
1 32216 27620
1 26502 7164
1 24181 13741
1 22924 8456
1 25150 1231
1 8944 19900
1 14781 31932
1 31277 23612
1 24029 31938
1 9000 7013
1 21071 26847
1 25782 7755
1 26413 29910
1 30559 32742
1 15837 9602
1 20834 3848
1 5433 31851
1 29688 30354
1 8428 407
1 7645 13800
1 28703 8099
1 1805 32162
1 10070 1554
1 2507 17541
1 4500 1508
1 23784 10417
1 19654 7274
1 17218 28955
1 5470 8282
1 21643 17214
1 30015 17695
1 17228 24846
1 23001 26738
1 17449 814
1 21909 24110
1 31334 9058
1 4211 11872
1 3498 19271
1 11249 31134
1 19715 15170
1 7728 30619
1 811 32182
1 18514 17400
1 24586 14970
1 19494 27996
1 7035 24202
1 25863 31430
1 13651 27644
1 18433 23330
1 30368 1590
1 20278 29467
1 6190 3679
1 29824 15665
1 12880 25619
1 24408 12299
1 23004 7771
1 2551 24334
1 3704 20700
1 16826 2350
1 24084 12622
1 1739 2564
1 25016 12592
1 3838 24865
1 30592 24506
1 28665 17315
1 24037 10260
1 13464 27654
1 5181 16325
1 24976 7228
1 9349 22894
1 11602 1535
1 14943 28600
1 28466 3430
1 11095 15499
1 2504 6582
1 21610 12417
1 21654 26747
1 28873 32410
1 18668 5848
1 19930 4145
1 30217 21788
1 128 29998
1 131 30869
1 32668 9342
1 12521 24489
1 18388 8384
1 21926 23586
1 27795 21825
1 31784 6090
