100000 100000
1 9258 28784
1 11516 9580
1 15185 8115
1 21836 19828
1 5776 28979
1 8021 31486
1 5440 24693
1 3034 4565
1 6614 23723
1 18832 20704
1 18020 9004
1 30154 8255
1 25187 7714
1 20565 1431
1 19887 7042
1 26273 12969
1 9427 28738
1 31266 25130
1 31367 23494
1 9718 30414
1 19063 16283
1 1992 4263
1 2374 32615
1 28660 3245
1 30163 7456
1 23788 8862
1 4027 25981
1 17882 5384
1 22303 16554
1 30855 10147
1 14759 31552
1 3707 20453
1 20678 7028
1 15718 21457
1 21824 5775
1 1726 19216
1 27626 31390
1 2730 13890
1 12209 24682
1 543 8342
1 7390 14762
1 9288 32664
1 16793 20344
1 31532 17739
1 22443 1282
1 27531 22648
1 11144 12930
1 29704 26437
1 29836 11376
1 26510 18441
1 645 19189
1 9964 23647
1 25714 1444
1 7618 10874
1 27786 30565
1 1697 8376
1 13696 24241
1 14958 14201
1 3334 28165
1 3847 25905
1 26512 144
1 2345 6332
1 16730 1839
1 26002 11762
1 4268 16796
1 15714 4220
1 11613 6115
1 18887 230
1 20886 10261
1 2777 12276
1 6104 23615
1 21955 9274
1 6720 7325
1 3620 7655
1 5898 29196
1 3765 27874
1 15957 11454
1 1323 27928
1 3365 25393
1 17759 7444
1 22958 23906
1 22444 720
1 29904 16446
1 18072 21194
1 1246 3417
1 28599 3419
1 32163 19170
1 23501 1604
1 22951 26583
1 25139 2698
1 30894 12405
1 7036 6277
1 18306 26355
1 26455 24115
1 5362 21615
1 2487 29138
1 14363 26153
1 9010 30893
1 27622 10991
1 2215 12342
1 978 17624
1 15908 3413
1 24052 9013
1 6407 26112
1 13884 6341
1 19811 22796
1 16121 8744
1 27301 26690
1 8863 28822
1 2935 30902
1 21192 3281
1 15588 11604
1 18554 9816
1 24765 20412
1 6568 25310
1 3900 15184
1 2043 16890
1 15336 32394
1 27858 26912
1 8632 9876
1 9863 27600
1 14971 26898
1 27380 25613
1 17783 8258
1 9013 28433
1 8529 19784
1 13488 25151
1 32045 5315
1 23379 19545
1 9493 27044
1 31005 5875
1 28063 23104
1 32480 23592
1 714 13220
1 21061 17547
1 7722 28456
1 21776 352
1 26693 7751
1 29093 14093
1 2364 18605
1 20683 27595
1 11438 28818
1 7345 20129
1 31961 12615
1 29999 27283
1 22786 11278
1 31053 6679
1 19223 14127
1 2569 20168
1 148 840
1 10837 350
1 19107 10981
1 8288 24030
1 27015 24656
1 15382 14
1 10042 11691
1 26346 21548
1 1365 31547
1 24787 28639
1 561 20487
1 20116 30574
1 14668 162
1 32065 25392
1 25326 16453
1 32511 14660
1 30476 18464
1 1291 3969
1 30572 2290
1 6910 27056
1 9482 6872
1 10063 18425
1 9403 24418
1 21785 31132
1 22288 2540
1 19230 2018
1 26493 556
1 21517 19794
1 22202 21767
1 23552 3367
1 1130 10153
1 26441 7938
1 31739 24788
1 26222 733
1 2253 31864
1 2930 28992
1 21910 15749
1 1110 15287
1 6917 12797
1 16096 4483
1 8613 15693
1 6555 31888
1 6917 7389
1 9759 10919
1 5654 6886
1 24722 22245
1 4820 25476
1 111 26476
1 31016 12300
1 18054 4952
1 30477 15519
1 27717 9461
1 2547 15359
1 6197 11311
1 14176 15778
1 31687 13641
1 14557 14853
1 32337 22482
1 7952 14659
1 6484 12757
1 12326 18406
1 18944 9041
1 1396 11773
1 15354 24040
1 11357 7279
1 4444 7387
1 20086 17550
1 27646 6454
1 9448 3567
1 7156 3656
1 15126 24186
1 5975 25174
1 17536 10429
1 8009 18321
1 2535 13445
1 13875 26948
1 12723 21936
1 19281 31058
1 26513 1341
1 16241 12768
1 10080 4261
1 9975 8015
1 12110 21358
1 27941 18029
1 23870 12029
1 15513 31468
1 31598 13484
1 20759 31251
1 16470 13852
1 5769 7603
1 1491 12237
1 14660 15197
1 31620 16875
1 2957 978
1 22644 11115
1 25692 30395
1 20474 31575
1 23392 16026
1 19934 27750
1 1602 2305
1 15805 7888
1 6958 12034
1 25007 9312
1 7312 16870
1 31782 4811
1 29211 20513
1 20762 4160
1 4880 30342
1 16995 3648
1 9661 4536
1 2918 9904
1 14404 9185
1 24563 20269
1 30365 17062
1 29294 22175
1 478 8538
1 9517 24849
1 19642 2929
1 27426 21952
1 8520 25400
1 7098 29553
1 13318 30916
1 15876 32520
1 26654 19752
1 3862 16471
1 10472 5612
1 18349 16692
1 31919 5306
1 25875 718
1 13496 5977
1 31046 7489
1 24192 13280
1 18006 32103
1 23110 5411
1 10511 13553
1 15049 27506
1 5848 4279
1 21075 21891
1 13019 26957
1 4342 21932
1 15974 25047
1 6166 10069
1 26769 2334
1 10024 2222
1 16674 4323
1 17848 19613
1 21165 3955
1 20145 18683
1 10240 32635
1 16601 29951
1 16574 29214
1 30875 19450
1 14665 10053
1 14089 18501
1 10725 54
1 6689 2680
1 283 105
1 27215 221
1 23900 20630
1 24884 8997
1 10727 30739
1 19878 5721
1 749 16477
1 14584 19731
1 9458 30453
1 29051 30701
1 27510 365
1 7748 23098
1 8917 30658
1 16432 22260
1 12652 14572
1 17446 18934
1 23549 11700
1 2716 363
1 10580 11718
1 2141 27527
1 10539 15111
1 25737 19573
1 8780 1832
1 14301 4240
1 27637 30588
1 20788 3797
1 30336 6918
1 9038 20376
1 18243 18135
1 16337 11127
1 27574 19607
1 909 22157
1 10195 32609
1 22532 11240
1 25539 31444
1 11818 19772
1 7350 24678
1 5737 27352
1 23827 32508
1 6632 18394
1 32721 6328
1 14605 20127
1 17188 15122
1 13121 18814
1 28253 23851
1 31731 5046
1 3851 14429
1 223 22180
1 4455 3863
1 9616 10042
1 14319 21992
1 6179 6060
1 13904 29401
1 25423 4460
1 29577 1792
1 24994 2905
1 14158 30290
1 30221 28724
1 18090 8633
1 11683 18771
1 13289 1895
1 11934 409
1 26037 15721
1 6307 21669
1 6527 31359
1 14919 15946
1 25889 8491
1 16337 32319
1 31681 264
1 16193 1048
1 14840 16989
1 17810 22389
1 15667 12274
1 18749 20602
1 2650 21282
1 9726 13439
1 1968 5682
1 1498 2824
1 19963 24801
1 23393 16119
1 5348 25408
1 20785 24576
1 16032 708
1 21179 6238
1 18128 7578
1 4682 10948
1 6310 6202
1 12353 3223
1 4170 26943
1 26531 28762
1 11132 6006
1 25561 21610
1 11642 24117
1 9136 27115
1 14884 27630
1 3490 26626
1 11358 28419
1 6486 8004
1 11190 25820
1 12906 24943
1 17735 24376
1 14447 4440
1 3036 13248
1 16437 28453
1 857 18914
1 31305 29884
1 23383 31452
1 25277 22140
1 15631 14359
1 7719 31786
1 12409 27575
1 10220 1582
1 23733 18288
1 13759 13055
1 10153 30107
1 29796 14556
1 30956 24713
1 442 26557
1 9186 1047
1 18424 10121
1 15657 32130
1 7735 9865
1 24372 19837
1 21041 19485
1 8758 129
1 32584 17325
1 19266 12645
1 22218 13283
1 30384 6702
1 15731 30231
1 16834 10024
1 25139 25099
1 14216 16438
1 12850 473
1 1280 15462
1 19986 16937
1 14466 13256
1 25716 29351
1 4187 9089
1 5565 10933
1 7353 6171
1 17690 26204
1 14535 21023
1 31425 28553
1 7960 6374
1 15226 26486
1 7497 12204
1 31070 1126
1 10978 8422
1 479 22421
1 26494 21461
1 3337 12143
1 17452 8284
1 21000 27136
1 23572 21775
1 17641 19372
1 16478 25484
1 24997 11808
1 15183 9998
1 10331 7048
1 20149 31039
1 11997 10754
1 29062 2382
1 27502 11091
1 20676 10562
1 7370 1242
1 6051 1422
1 29543 17346
1 750 31461
1 24571 16763
1 17319 32335
1 11070 27754
1 29934 19325
1 15089 2271
1 10531 19801
1 10271 32328
1 21071 29922
1 2723 1189
1 2496 29239
1 7658 17980
1 31476 1009
1 8954 18830
1 30137 20662
1 9139 14217
1 27537 32524
1 31573 20991
1 23643 32618
1 18499 11863
1 30256 15509
1 11015 2179
1 27788 9770
1 30357 16946
1 19118 18806
1 13780 25158
1 17729 27790
1 10842 10376
1 20283 24476
1 10359 2458
1 30214 30840
1 29814 10030
1 18654 27768
1 1311 6262
1 20346 31880
1 20353 5851
