100000 100000
1 6235 22225
1 27649 24806
1 12874 1431
1 28212 8706
1 15896 519
1 29079 9466
1 10251 7386
1 852 1122
1 6713 10854
1 28345 17758
1 4098 22545
1 3295 30902
1 17118 30219
1 14217 29229
1 21593 2365
1 25422 2575
1 22875 14716
1 9467 7434
1 10925 28675
1 9779 15934
1 7865 14880
1 19800 20375
1 4241 17453
1 7343 29787
1 22579 194
1 3262 4607
1 6156 20521
1 26105 21311
1 954 15378
1 23966 24942
1 1046 7048
1 31198 18442
1 23666 13092
1 317 13971
1 13599 9601
1 31035 5277
1 12083 18415
1 30772 7205
1 25992 12140
1 20101 28193
1 32520 2512
1 19184 21850
1 13864 5959
1 7746 11134
1 31155 22532
1 8754 5233
1 2761 16948
1 1933 997
1 15399 5169
1 12176 16682
1 13993 5881
1 13461 23879
1 26380 25822
1 26099 20297
1 30969 2175
1 15135 10971
1 831 2038
1 535 9495
1 18785 12371
1 19712 23452
1 13904 13642
1 25357 4577
1 29817 31016
1 14500 22729
1 18178 4363
1 12988 21623
1 2129 22867
1 14730 5219
1 29135 11860
1 24156 12717
1 4331 7501
1 6341 10162
1 3425 8606
1 24314 6878
1 9404 16949
1 7548 449
1 32537 9034
1 20983 25700
1 16687 24652
1 19818 9693
1 32652 16923
1 24969 3105
1 30497 9591
1 32096 31258
1 12033 9657
1 32056 4089
1 26470 24512
1 12734 9678
1 31221 24879
1 25186 21589
1 3907 6102
1 20222 19
1 19863 21869
1 29880 6818
1 25842 15240
1 6697 3658
1 7244 9159
1 26303 2001
1 17441 22605
1 2399 4755
1 12844 12404
1 12879 15061
1 10867 26047
1 25684 10838
1 22915 13585
1 24855 29479
1 17405 8220
1 13517 31933
1 20305 25371
1 9495 18245
1 18378 29380
1 1831 31031
1 1995 5752
1 16677 27438
1 9304 29374
1 31441 9719
1 17111 6127
1 16745 1767
1 31768 26931
1 8909 32370
1 28820 28587
1 993 7418
1 29170 28144
1 13875 25061
1 26064 18365
1 4318 242
1 17855 4584
1 4270 4557
1 24719 24215
1 17284 24033
1 16590 6576
1 764 16493
1 23691 2449
1 16974 19674
1 29279 18434
1 29554 12108
1 14255 18279
1 18312 31607
1 15403 14395
1 20086 23988
1 9882 25273
1 14803 25171
1 11994 18652
1 18180 18227
1 31010 9354
1 5284 2961
1 13963 5644
1 26410 12830
1 11983 5826
1 8389 26964
1 5968 1045
1 28811 3593
1 23388 22188
1 31955 15429
1 14767 23011
1 3295 25169
1 23353 30585
1 30143 2576
1 18210 27528
1 20081 19602
1 22540 29883
1 12109 9191
1 5784 21691
1 161 3889
1 7467 13546
1 7320 15613
1 26866 17236
1 18528 12244
1 15395 7139
1 18571 4364
1 30086 20946
1 5302 9700
1 309 11619
1 28265 6865
1 18080 29141
1 24383 6418
1 14291 16272
1 25159 23178
1 26108 26276
1 15529 12239
1 16167 15729
1 18829 11391
1 22861 20391
1 15672 28115
1 28301 31090
1 9080 12150
1 28345 17134
1 7491 8855
1 18964 4065
1 8603 15165
1 22874 30633
1 17844 26586
1 1793 22899
1 20569 26404
1 7615 174
1 7308 12320
1 24652 28096
1 3949 8319
1 20073 5879
1 9565 25902
1 15137 13762
1 23138 20777
1 6223 29729
1 29133 5776
1 7008 3674
1 24859 5628
1 8026 15598
1 25114 14355
1 26653 31435
1 28749 1370
1 10986 31683
1 13712 28747
1 33 26429
1 10751 1448
1 8783 11050
1 27413 30478
1 7783 31547
1 3601 13261
1 22864 20561
1 29086 1015
1 3744 31798
1 21170 22967
1 11432 9610
1 10423 19684
1 12720 16384
1 3305 29910
1 28291 21706
1 12543 5241
1 21039 12113
1 10509 19615
1 8966 16938
1 3241 18587
1 18664 22597
1 13133 6411
1 3269 26216
1 4092 12533
1 29021 4316
1 28712 14614
1 2378 14695
1 8660 11638
1 28225 10618
1 17654 31040
1 15765 11434
1 19487 1233
1 15868 12132
1 28765 27151
1 4758 13789
1 7265 17148
1 7979 16201
1 4829 18059
1 437 26957
1 21552 10162
1 17694 26550
1 1861 27328
1 12618 9323
1 27064 9457
1 23640 7072
1 2875 23103
1 24869 18509
1 22585 28028
1 24338 13535
1 14265 22174
1 9992 1069
1 16516 4954
1 14777 1709
1 18826 1524
1 31528 12264
1 22914 13909
1 16235 43
1 14801 10590
1 5295 13952
1 12461 17020
1 28286 24284
1 9858 25468
1 5693 4250
1 14996 16033
1 1273 28968
1 2791 3828
1 2659 20225
1 13148 10972
1 25880 26843
1 18460 9454
1 12326 13601
1 20281 28422
1 18892 15779
1 32147 13207
1 6018 25485
1 15097 22847
1 19257 8085
1 12689 25759
1 3556 4729
1 27770 11369
1 13111 31145
1 18863 5050
1 23215 23616
1 17199 16043
1 8658 1081
1 21339 29987
1 19384 6112
1 30879 10223
1 458 26502
1 7252 19476
1 4554 17273
1 24805 99
1 19732 28212
1 6961 12623
1 27939 32466
1 31537 12028
1 8534 18377
1 10203 27032
1 10740 5588
1 21062 18414
1 9327 23345
1 1038 19512
1 27877 6925
1 11514 31541
1 14572 10557
1 13276 14716
1 20367 4654
1 3769 4880
1 660 16159
1 9770 8500
1 19713 10893
1 2050 641
1 15070 14575
1 11569 6453
1 32315 2468
1 22249 974
1 21877 21546
1 18175 984
1 9910 9616
1 22419 18179
1 29883 4654
1 13811 18040
1 4314 12179
1 17597 12397
1 11843 27327
1 26948 4087
1 14982 3731
1 18485 10016
1 8021 3717
1 13691 12090
1 20875 27032
1 23391 29555
1 20846 14732
1 23796 31145
1 49 16977
