100000 100000
1 25961 9091
1 31831 5797
1 32458 28890
1 27677 21297
1 27602 28420
1 6684 26364
1 4434 11546
1 24664 28175
1 23816 23668
1 31513 670
1 21280 14363
1 8850 36
1 5370 129
1 26561 31926
1 17710 24432
1 22678 27792
1 27854 18497
1 12119 9205
1 17899 10318
1 4419 11062
1 3930 31658
1 8310 6416
1 19895 6671
1 25868 26426
1 7595 20503
1 20873 30015
1 31595 6319
1 26233 11658
1 9089 2761
1 14675 191
1 28879 20306
1 25251 11090
1 23505 13156
1 5992 31058
1 32546 10940
1 29115 31877
1 17730 22126
1 11442 26810
1 9110 25559
1 22404 2651
1 1712 22484
1 17390 2882
1 21457 6705
1 13269 31181
1 9132 21861
1 2604 17973
1 6765 32380
1 792 10779
1 250 6484
1 14162 11876
1 889 3340
1 28366 17223
1 14610 7354
1 1690 7844
1 22774 22620
1 28168 21656
1 16544 6674
1 32527 24142
1 12123 25482
1 13807 792
1 23300 12219
1 3092 22462
1 16913 3286
1 31293 18454
1 24274 4729
1 26077 24276
1 8183 2086
1 32193 16292
1 19027 20469
1 18932 1910
1 10207 27013
1 29408 1817
1 10242 8504
1 949 3084
1 21775 16288
1 11279 11153
1 17168 19764
1 17619 17410
1 23490 15944
1 7257 10344
1 11232 6972
1 19921 10826
1 5540 30963
1 10207 30147
1 3212 21894
1 26249 29655
1 15962 11578
1 17491 9991
1 19806 23472
1 9896 13859
1 32759 7516
1 27004 6496
1 2392 17720
1 3632 7595
1 20360 31418
1 20918 12860
1 21164 5123
1 28149 13421
1 6537 24665
1 2671 11725
1 18245 30423
1 8225 14448
1 15981 23907
1 21674 32138
1 30013 7137
1 4272 572
1 24347 4006
1 21888 13998
1 3940 4912
1 5620 31582
1 31083 19988
1 5786 4280
1 29119 16695
1 6418 9446
1 21677 25409
1 22200 29673
1 30214 24911
1 3716 11753
1 15907 22505
1 10798 6089
1 6181 6195
1 16021 6655
1 5505 19815
1 27489 12707
1 27325 5762
1 24039 30661
1 10612 26686
1 31566 13060
1 23456 19265
1 30192 10076
1 25625 19092
1 20995 6208
1 18520 9814
1 7545 12521
1 18305 7858
1 24356 18157
1 25249 27406
1 286 11027
1 14899 12677
1 14952 31846
1 25834 4760
1 15313 12680
1 9130 7456
1 9242 19529
1 5847 16007
1 32599 27512
1 22739 824
1 21912 12026
1 8642 15188
1 3273 8728
1 22673 22439
1 8663 8221
1 13622 4826
1 32021 26401
1 22585 15082
1 26077 19744
1 31603 11993
1 22906 19279
1 8214 25763
1 18757 21423
1 24045 2931
1 1039 9442
1 14309 7703
1 20159 4158
1 6605 31153
1 28732 26144
1 25434 19632
1 13454 31874
1 9326 29183
1 11072 976
1 28313 3196
1 9480 7672
1 24545 30380
1 13482 27585
1 19134 23213
1 14105 1117
1 8041 1644
1 9951 2881
1 31318 20504
1 16064 22580
1 31743 7894
1 12186 26022
1 19940 27574
1 28048 31044
1 30928 20197
1 22631 15049
1 28765 27941
1 17200 11543
1 30650 22907
1 7976 15750
1 17324 16167
1 19932 23932
1 32211 26585
1 24209 23102
