100000 100000
1 42 18468
1 6335 26501
1 19170 15725
1 11479 29359
1 26963 24465
1 5706 28146
1 23282 16828
1 9962 492
1 2996 11943
1 4828 5437
1 32392 14605
1 3903 154
1 293 12383
1 17422 18717
1 19719 19896
1 5448 21727
1 14772 11539
1 1870 19913
1 25668 26300
1 17036 9895
1 28704 23812
1 31323 30334
1 17674 4665
1 15142 7712
1 28254 6869
1 25548 27645
1 32663 32758
1 20038 12860
1 8724 9742
1 27530 779
1 12317 3036
1 22191 1843
1 289 30107
1 9041 8943
1 19265 22649
1 27447 23806
1 15891 6730
1 24371 15351
1 15007 31102
1 24394 3549
1 19630 12624
1 24085 19955
1 18757 11841
1 4967 7377
1 13932 26309
1 16945 32440
1 24627 11324
1 5538 21539
1 16119 2083
1 22930 16542
1 4834 31116
1 4640 29659
1 22705 9931
1 13978 2307
1 31674 22387
1 5022 28746
1 26925 19073
1 6271 5830
1 26778 15574
1 5098 16513
1 23987 13291
1 9162 18637
1 22356 24768
1 23656 15575
1 4032 12053
1 27351 1151
1 16942 21725
1 13967 3431
1 31108 30192
1 18008 11338
1 15458 12288
1 27754 10384
1 14946 8910
1 32210 9759
1 24222 18589
1 6423 24947
1 27507 13031
1 16414 29169
1 901 32592
1 18763 1656
1 17411 6360
1 27625 20538
1 21549 6484
1 27596 4042
1 3603 24351
1 10292 30837
1 9375 11021
1 4597 24022
1 27349 23200
1 19669 24485
1 8282 4735
1 54 2000
1 26419 27939
1 6901 3789
1 18128 468
1 3729 14894
1 24649 22484
1 17808 2422
1 14311 6618
1 22814 9515
1 14310 7617
1 18936 17452
1 20601 5250
1 16520 31557
1 22799 30304
1 6225 11009
1 5845 32610
1 14990 32703
1 3196 20486
1 3094 14344
1 30524 1588
1 29315 9504
1 7449 25201
1 13459 6619
1 20581 19797
1 14799 15282
1 19590 20799
1 28010 27158
1 20473 23623
1 18539 12293
1 6039 24180
1 18191 29658
1 7959 6192
1 19816 22889
1 19157 11512
1 16203 2635
1 24273 20056
1 20329 22647
1 26363 4887
1 18876 28434
1 29870 20143
1 23845 1417
1 21882 31999
1 10323 18652
1 10022 5700
1 3558 28477
1 27893 24390
1 5076 10713
1 2601 2511
1 21004 26870
1 17862 14689
1 13402 9790
1 15256 16424
1 5003 10586
1 24183 10286
1 27089 31427
1 28618 23758
1 9833 30933
1 4170 2155
1 25722 17190
1 19977 31330
1 2369 28693
1 21426 10556
1 3435 16550
1 7442 9513
1 30146 18061
1 21719 3754
1 16140 12424
1 16280 25997
1 16688 12530
1 22550 17438
1 19867 12950
1 194 23196
1 3298 20417
1 28287 16106
1 24489 16283
1 12456 25735
1 18115 11702
1 31317 20672
1 5787 12264
1 4314 24356
1 31186 20054
1 913 10809
1 1833 20946
1 4314 27757
1 28322 19559
1 23647 27983
1 482 4145
1 23197 20223
1 7130 2162
